,Tot_mean,Tot_mean,Tot_mean,Tot_mean,Tot_mean,Tot_mean,Tot_mean,Tot_mean,prc,prc,prc,prc,prc,prc,prc,prc,prc,prc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,rentPrc,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc1,spc2,spc2,spc2,spc2,spc2,spc2,spc2,spc2,spc2,spc2
,prc,rentPrc,spc1,spc2,prc/spc1,rentPrc/spc1,prc/spc2,rentPrc/spc2,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축,다세대,단독/다가구,빌라,상가주택,아파트,아파트분양권,연립,오피스텔,원룸,재건축
region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호1가동,15439.473684210527,122.23684210526316,73.91891891891892,57.805263157894736,208.8703935341095,1.653661118060233,267.0946007466084,2.1146317035418374,,400.0,12208.333333333334,,19086.956521739132,,,,,,,35.0,41.25,,175.8695652173913,,,,,,,21.333333333333332,39.63636363636363,,97.17391304347827,,,,,,,21.77333333333333,34.1,,74.87304347826087,,,,,
금호2가동,18457.894736842107,170.0,84.83333333333333,62.46947368421052,217.57832695688143,2.0039292730844793,295.47062986553436,2.721329154450174,,3500.0,8200.0,2000.0,25921.052631578947,,,1800.0,650.0,,,48.333333333333336,40.0,55.0,226.31578947368422,,,81.0,57.5,,,55.5,41.8,39.5,102.10526315789474,,,46.0,36.0,,,36.839999999999996,39.980000000000004,37.29,76.54947368421053,,,29.444,29.915,
금호3가동,18823.529411764706,206.84313725490196,93.68627450980392,70.81627450980392,200.92088740058603,2.207827542904981,265.8079592870809,2.9208418359577255,,6000.0,5000.0,6111.111111111111,24305.555555555555,,,,3500.0,,,61.666666666666664,40.0,104.44444444444444,257.77777777777777,,,,52.0,,,115.0,45.0,88.44444444444444,97.83333333333333,,,,35.0,,,53.803333333333335,34.56,78.66444444444444,73.79666666666667,,,,25.5,
금호4가동,7600.0,110.95555555555555,62.75,50.11955555555556,121.11553784860558,1.7682160247897298,151.63741808475734,2.213817627184776,11666.666666666666,2447.3684210526317,4375.0,500.0,16000.0,,,,833.3333333333334,,106.66666666666667,61.05263157894737,81.25,43.0,198.66666666666666,,,,55.0,,66.33333333333333,41.57142857142857,47.75,18.0,95.86666666666666,,,,27.333333333333332,,57.82666666666666,36.41105263157895,38.230000000000004,18.0,75.74066666666666,,,,27.686666666666667,
기타지역(1120012200),9110.21505376344,95.94623655913979,55.17486338797814,38.04048387096774,165.11531690984546,1.7389483302290365,239.48735995748729,2.522213883624266,,4011.6279069767443,3500.0,4000.0,,29200.0,,5486.764705882353,2090.0,,,64.53488372093024,159.60714285714286,65.0,,156.0,,65.1029411764706,58.5,,,49.90243902439025,55.81481481481482,39.0,,86.71428571428571,,46.294117647058826,28.3,,,40.33651162790698,42.300357142857145,36.0,,62.68028571428571,,23.950294117647058,26.222,
마장동,2331.5789473684213,53.60526315789474,70.86111111111111,37.13763157894737,32.90350533330582,0.7564835255524149,62.78211205827541,1.4434216959673476,,2587.5,5000.0,2125.0,,,,,1444.4444444444443,,,52.791666666666664,85.0,62.5,,,,,48.333333333333336,,,74.3913043478261,20.0,151.0,,,,,27.0,,,44.46125,16.6,28.4925,,,,,23.732222222222223,
사근동,6461.728395061728,72.23456790123457,45.65384615384615,34.6758024691358,141.53743746554755,1.5822230542814648,186.3469028817192,2.0831404829211677,,6500.0,7750.0,1200.0,37500.0,,,3607.4074074074074,5009.090909090909,,,75.25,60.0,75.0,116.5,,,92.51851851851852,38.27272727272727,,,60.1578947368421,29.0,43.25,106.0,,,45.2962962962963,24.545454545454547,,,52.692499999999995,31.3,31.77,84.83500000000001,,,28.18037037037037,18.29090909090909,
성수1가제1동,28906.25,276.85714285714283,110.07339449541284,86.04339285714286,262.60887231205203,2.5152049151048983,335.9496765543963,3.2176455816521146,,5300.0,40166.666666666664,6833.333333333333,30822.222222222223,,80000.0,1000.0,2375.0,5000.0,,72.0,1026.6666666666667,83.33333333333333,260.97777777777776,,160.0,100.0,40.0,170.0,,39.6,293.0,46.666666666666664,110.2,,175.0,58.0,22.666666666666668,94.0,,38.268,164.75,47.07,86.65211111111111,,164.62,29.54,17.2875,89.19
성수1가제2동,24392.88056206089,474.655737704918,83.57446808510639,61.39957845433255,291.8700067252703,5.679434743414243,397.28091260762807,7.73060254897279,3000.0,2852.5641025641025,4697.777777777777,4036.3636363636365,45324.07407407407,,,2560.8695652173915,2371.7391304347825,,130.0,69.33333333333333,156.38888888888889,100.0,838.5416666666666,,,157.54347826086956,81.58695652173913,,35.0,43.32,39.611111111111114,51.40909090909091,122.38888888888889,,,46.369565217391305,36.77777777777778,,29.58,34.329743589743586,28.727777777777778,43.22,90.49814814814815,,,28.67717391304348,25.557173913043474,
성수2가제1동,9385.661375661375,110.8941798941799,57.060109289617486,42.30497354497355,164.4872660166665,1.943462451698422,221.85716215337357,2.6213036104677045,2000.0,4316.326530612245,14837.5,9125.0,62470.58823529412,,,1749.2207792207791,3357.1428571428573,16250.0,85.0,79.08163265306122,62.25,110.5,179.7058823529412,,,129.33766233766235,71.0,167.5,46.0,44.955555555555556,46.857142857142854,71.58333333333333,132.76470588235293,,,51.246753246753244,29.95,96.0,42.18,37.94204081632653,33.73875,68.475,105.40235294117646,,,31.086753246753243,25.151904761904763,72.245
옥수동,15078.947368421053,138.0701754385965,79.45283018867924,59.680350877192986,189.78489919884015,1.7377628350143943,252.66184174167643,2.3134946998336163,1000.0,4323.529411764706,,2500.0,29307.69230769231,,,,916.6666666666666,,40.0,46.470588235294116,,63.57142857142857,241.92307692307693,,,,50.833333333333336,,87.0,44.0,,82.28571428571429,108.5,,,,22.2,,72.2,38.974117647058826,,39.45428571428572,86.33961538461539,,,,24.334999999999997,
